Age	Workclass	Education	Marital_Status	Occupation	Relationship	Race	Sex	Hours_Per_Week	Native_Country	Income	
0.jpg	1	0	1	1	1	1	1	1	0	1	0
1.jpg	1	0	1	0	1	0	1	1	0	1	0
2.jpg	1	1	0	1	1	1	1	1	0	1	0
3.jpg	1	1	0	0	1	0	0	1	0	1	0
4.jpg	0	1	1	0	1	0	0	0	0	0	0
5.jpg	0	1	1	0	1	0	1	0	0	1	0
6.jpg	1	1	0	1	1	1	0	0	0	0	0
7.jpg	1	0	0	0	1	0	1	1	1	1	1
8.jpg	0	1	1	1	1	1	1	0	1	1	1
9.jpg	1	1	1	0	1	0	1	1	0	1	1
10.jpg	0	1	1	0	1	0	0	1	1	1	1
11.jpg	0	0	1	0	1	0	0	1	0	0	1
12.jpg	0	1	1	1	1	0	1	0	0	1	0
13.jpg	0	1	1	1	1	1	0	1	1	1	0
14.jpg	1	1	1	0	0	0	0	1	0	0	1
15.jpg	0	1	0	0	1	0	0	1	1	0	0
16.jpg	0	0	0	1	1	0	1	1	0	1	0
17.jpg	0	1	0	1	1	0	1	1	0	1	0
18.jpg	1	1	0	0	1	0	1	1	1	1	0
19.jpg	1	0	1	1	1	0	1	0	1	1	1
20.jpg	1	1	1	0	1	0	1	1	1	1	1
21.jpg	1	1	0	1	1	0	0	0	0	1	0
22.jpg	0	0	0	0	1	0	0	1	0	1	0
23.jpg	1	1	0	0	1	0	1	1	0	1	0
24.jpg	1	1	0	1	1	0	1	0	0	1	0
25.jpg	1	0	1	0	1	0	1	1	0	1	1
26.jpg	0	1	0	1	0	0	1	1	0	1	0
27.jpg	1	0	1	0	1	0	0	1	1	0	1
28.jpg	1	1	0	1	1	1	1	1	1	1	0
29.jpg	1	1	0	0	0	0	1	1	0	1	0
30.jpg	0	0	1	1	1	1	1	1	1	1	0
31.jpg	0	1	1	1	1	0	0	1	1	1	0
32.jpg	1	1	1	1	1	0	1	1	0	1	0
33.jpg	0	0	1	0	1	0	1	1	0	1	0
34.jpg	0	0	1	0	1	0	0	1	0	1	0
35.jpg	1	1	0	1	1	0	1	1	0	0	0
36.jpg	0	1	1	1	1	0	1	1	0	1	0
37.jpg	0	1	0	1	1	0	1	0	0	1	0
38.jpg	0	1	1	0	1	0	1	1	0	0	1
39.jpg	1	0	1	0	1	0	1	1	0	1	0
40.jpg	0	1	0	0	1	0	1	1	1	1	0
41.jpg	1	0	1	0	1	0	1	1	0	1	0
42.jpg	0	1	1	0	1	0	1	1	1	1	0
43.jpg	1	1	0	1	1	0	1	0	0	1	0
44.jpg	0	1	0	1	1	1	1	1	0	1	0
45.jpg	1	0	1	0	1	0	0	1	0	1	1
46.jpg	1	1	0	0	1	0	1	1	0	1	0
47.jpg	1	1	1	1	1	0	1	0	0	1	0
48.jpg	1	0	1	0	0	0	1	1	0	1	0
49.jpg	0	1	1	1	1	1	1	1	1	1	0
50.jpg	0	1	1	0	1	0	0	0	0	1	0
51.jpg	0	1	0	1	1	0	1	0	0	0	0
52.jpg	1	1	1	0	1	0	1	0	1	0	1
53.jpg	1	0	1	1	1	1	1	1	1	1	1
54.jpg	1	0	0	1	1	1	1	1	1	1	0
55.jpg	1	1	1	0	1	0	1	1	0	1	1
56.jpg	1	1	0	0	1	0	1	1	0	0	0
57.jpg	0	1	1	0	1	0	1	1	0	0	0
58.jpg	1	1	0	0	1	0	1	1	1	1	0
59.jpg	0	1	0	0	1	0	1	1	0	1	0
60.jpg	0	1	1	0	1	0	1	1	0	1	0
61.jpg	0	0	0	1	1	1	1	1	0	0	0
62.jpg	1	1	0	0	1	0	1	1	0	1	0
63.jpg	1	1	1	0	1	0	1	1	1	1	1
64.jpg	0	1	1	1	1	1	1	1	1	1	0
65.jpg	0	1	0	0	0	0	1	1	0	1	0
66.jpg	0	1	1	1	1	1	1	0	0	1	0
67.jpg	1	1	0	0	1	0	1	0	0	1	1
68.jpg	1	0	1	0	1	0	1	1	1	1	1
69.jpg	0	0	1	1	1	0	1	1	0	1	0
70.jpg	0	1	1	1	1	0	1	1	0	1	0
71.jpg	0	1	1	1	1	0	0	0	0	1	0
72.jpg	0	0	1	0	1	0	1	1	1	1	1
73.jpg	0	1	1	1	1	1	1	1	0	1	0
74.jpg	1	1	1	0	1	0	1	1	0	1	0
75.jpg	0	1	0	1	1	0	1	1	0	0	0
76.jpg	1	1	1	0	1	0	1	1	0	1	0
77.jpg	1	0	0	0	1	0	1	1	0	1	0
78.jpg	0	1	0	1	1	0	1	0	0	1	0
79.jpg	0	0	0	0	1	0	1	1	0	1	0
80.jpg	0	1	0	1	1	1	1	1	0	1	0
81.jpg	1	1	1	0	1	0	1	1	0	0	0
82.jpg	1	1	0	0	1	0	1	0	0	1	0
83.jpg	1	1	0	0	1	0	1	1	1	1	0
84.jpg	1	1	0	1	0	1	1	0	0	1	1
85.jpg	1	1	0	1	1	0	1	0	0	1	0
86.jpg	1	0	0	0	1	0	1	1	0	1	1
87.jpg	0	1	1	0	1	0	1	1	1	1	0
88.jpg	0	1	0	1	1	1	1	1	0	1	0
89.jpg	1	0	1	1	1	1	1	0	1	1	1
90.jpg	1	1	1	0	1	0	1	1	0	1	0
91.jpg	0	1	1	1	0	0	1	0	0	1	0
92.jpg	0	1	1	1	1	0	0	0	0	1	0
93.jpg	0	1	0	0	1	0	0	0	0	0	0
94.jpg	0	0	1	0	1	0	1	1	0	1	1
95.jpg	0	0	1	1	1	1	1	1	1	1	0
96.jpg	1	0	1	0	1	0	1	1	1	1	1
97.jpg	0	1	1	0	1	0	1	1	1	1	1
98.jpg	1	1	1	1	1	0	1	0	0	0	0
99.jpg	0	0	0	1	1	0	0	1	0	1	0
100.jpg	1	1	1	0	1	0	1	1	0	1	1
101.jpg	1	1	1	0	1	0	1	1	1	1	1
102.jpg	1	0	1	1	1	1	1	0	1	1	0
103.jpg	0	1	1	1	1	0	1	0	0	1	0
104.jpg	0	1	0	1	0	1	1	1	0	1	0
105.jpg	0	0	0	0	0	0	1	1	0	1	1
106.jpg	0	0	0	1	1	0	1	0	0	1	0
107.jpg	0	1	0	1	1	0	1	1	0	1	0
108.jpg	0	0	0	1	1	1	1	0	0	1	0
109.jpg	1	1	0	0	1	0	1	1	0	1	0
110.jpg	0	1	1	1	1	0	1	1	0	1	0
111.jpg	1	1	1	0	1	0	1	1	0	1	1
112.jpg	1	0	0	0	1	0	1	1	1	0	1
113.jpg	0	1	1	0	1	0	1	0	0	1	0
114.jpg	0	1	0	1	1	0	1	0	0	1	0
115.jpg	1	1	0	0	1	0	1	1	1	1	0
116.jpg	1	0	1	0	1	0	1	1	1	1	0
117.jpg	1	0	1	0	0	0	0	1	0	1	1
118.jpg	1	1	1	0	1	0	1	1	1	1	0
119.jpg	0	1	0	1	0	1	1	1	1	1	0
120.jpg	0	1	1	1	1	0	1	0	0	1	0
